iter	Passed	Remaining
0	150	150659
1	152	75861
2	152	50802
3	153	38211
4	154	30648
5	154	25609
6	155	22014
7	155	19323
8	156	17222
9	157	15545
10	157	14168
11	158	13023
12	159	12085
13	159	11262
14	160	10540
15	161	9905
16	161	9344
17	162	8846
18	162	8408
19	163	8007
20	163	7644
21	164	7314
22	165	7012
23	165	6736
24	166	6499
25	167	6269
26	168	6055
27	168	5854
28	169	5666
29	169	5489
30	170	5324
31	170	5169
32	171	5023
33	172	4886
34	172	4757
35	173	4634
36	173	4526
37	174	4422
38	175	4319
39	175	4220
40	176	4128
41	177	4039
42	177	3954
43	178	3874
44	178	3797
45	179	3722
46	180	3650
47	180	3581
48	181	3525
49	182	3463
50	182	3403
51	183	3344
52	184	3288
53	184	3233
54	185	3180
55	185	3130
56	186	3081
57	186	3033
58	187	2987
59	187	2944
60	188	2904
61	189	2865
62	190	2826
63	190	2789
64	191	2752
65	191	2716
66	192	2680
67	193	2645
68	193	2612
69	194	2579
70	194	2547
71	195	2516
72	195	2485
73	196	2461
74	197	2433
75	197	2405
76	198	2378
77	198	2351
78	199	2325
79	200	2300
80	200	2275
81	201	2251
82	201	2225
83	201	2202
84	202	2180
85	203	2158
86	204	2145
87	205	2124
88	205	2104
89	206	2084
90	206	2064
91	207	2045
92	207	2026
93	208	2008
94	208	1989
95	209	1972
96	209	1954
97	210	1939
98	211	1925
99	212	1910
100	212	1894
101	213	1878
102	213	1863
103	214	1847
104	215	1832
105	215	1818
106	216	1803
107	216	1789
108	217	1775
109	218	1768
110	219	1756
111	219	1743
112	220	1730
113	220	1717
114	221	1705
115	222	1692
116	222	1679
117	223	1667
118	223	1655
119	224	1644
120	224	1632
121	225	1620
122	226	1612
123	226	1602
124	227	1591
125	227	1581
126	228	1570
127	228	1559
128	229	1550
129	230	1540
130	230	1529
131	231	1520
132	231	1511
133	232	1501
134	233	1493
135	233	1485
136	234	1476
137	234	1467
138	235	1459
139	236	1450
140	236	1441
141	236	1431
142	237	1423
143	238	1415
144	238	1407
145	239	1399
146	239	1391
147	240	1384
148	241	1377
149	241	1370
150	242	1363
151	242	1355
152	243	1348
153	244	1341
154	244	1333
155	245	1327
156	245	1320
157	246	1313
158	246	1306
159	247	1300
160	248	1293
161	248	1287
162	249	1281
163	250	1275
164	250	1268
165	251	1262
166	251	1256
167	252	1250
168	253	1244
169	253	1238
170	254	1232
171	254	1226
172	255	1222
173	256	1216
174	256	1210
175	257	1205
176	257	1199
177	258	1193
178	259	1188
179	259	1183
180	260	1178
181	260	1172
182	261	1167
183	262	1163
184	263	1159
185	263	1154
186	264	1149
187	265	1144
188	265	1139
189	266	1134
190	266	1129
191	267	1124
192	267	1119
193	268	1114
194	268	1110
195	269	1105
196	270	1102
197	271	1098
198	271	1093
199	272	1088
200	272	1084
201	273	1080
202	274	1076
203	274	1071
204	275	1067
205	275	1063
206	276	1059
207	277	1055
208	278	1052
209	278	1048
210	279	1045
211	280	1041
212	280	1037
213	281	1033
214	281	1029
215	282	1025
216	283	1022
217	283	1018
218	284	1014
219	285	1011
220	286	1008
221	286	1005
222	287	1002
223	288	998
224	288	994
225	289	991
226	290	987
227	290	984
228	291	980
229	291	977
230	293	975
231	293	972
232	294	969
233	295	966
234	295	962
235	296	959
236	297	956
237	297	952
238	298	949
239	298	946
240	299	942
241	300	941
242	301	938
243	301	935
244	302	932
245	303	928
246	303	925
247	304	922
248	304	919
249	305	916
250	305	912
251	306	909
252	307	908
253	308	906
254	309	903
255	310	901
256	310	898
257	311	895
258	311	892
259	312	889
260	313	886
261	313	883
262	314	881
263	315	879
264	316	876
265	316	874
266	317	871
267	318	868
268	318	865
269	319	862
270	319	860
271	320	857
272	320	854
273	321	852
274	322	851
275	323	848
276	324	846
277	324	843
278	325	841
279	326	838
280	326	836
281	327	833
282	327	830
283	328	828
284	329	826
285	330	824
286	331	822
287	331	820
288	332	818
289	333	815
290	333	813
291	334	811
292	335	809
293	336	806
294	336	804
295	337	802
296	338	801
297	339	799
298	340	797
299	340	795
300	341	793
301	342	790
302	342	788
303	343	786
304	344	784
305	344	782
306	345	780
307	346	778
308	347	776
309	348	774
310	348	772
311	349	770
312	350	768
313	350	766
314	352	765
315	353	764
316	354	763
317	354	761
318	355	758
319	356	756
320	356	754
321	357	752
322	357	750
323	358	747
324	359	746
325	360	744
326	361	743
327	361	741
328	362	739
329	363	737
330	363	735
331	364	733
332	365	731
333	365	729
334	366	728
335	367	726
336	368	724
337	368	722
338	369	720
339	370	719
340	371	717
341	372	716
342	373	715
343	374	714
344	375	713
345	376	711
346	377	709
347	377	707
348	378	705
349	379	704
350	380	702
351	380	701
352	381	699
353	383	699
354	383	697
355	384	695
356	385	693
357	386	692
358	387	692
359	388	690
360	389	689
361	390	687
362	390	685
363	391	683
364	391	681
365	392	679
366	393	678
367	393	676
368	394	675
369	395	673
370	396	671
371	396	669
372	397	668
373	398	666
374	398	664
375	399	662
376	399	660
377	400	658
378	400	656
379	401	655
380	402	653
381	403	652
382	403	650
383	404	648
384	404	646
385	405	644
386	406	643
387	406	641
388	407	639
389	407	637
390	408	636
391	409	635
392	410	633
393	410	631
394	411	630
395	411	628
396	412	626
397	413	624
398	413	623
399	414	621
400	414	619
401	415	618
402	416	616
403	416	615
404	417	613
405	418	611
406	418	610
407	419	608
408	419	606
409	420	605
410	421	603
411	421	601
412	422	600
413	422	598
414	423	596
415	424	595
416	425	594
417	425	592
418	426	591
419	426	589
420	427	587
421	428	586
422	428	584
423	429	583
424	429	581
425	430	579
426	430	578
427	431	577
428	432	575
429	433	574
430	433	572
431	434	571
432	434	569
433	435	567
434	436	566
435	436	564
436	437	563
437	437	561
438	438	560
439	439	559
440	440	557
441	440	556
442	441	554
443	441	553
444	442	551
445	442	550
446	443	548
447	444	547
448	444	545
449	445	544
450	445	542
451	446	541
452	447	540
453	448	538
454	448	537
455	449	536
456	449	534
457	450	533
458	451	531
459	451	530
460	452	528
461	452	527
462	453	526
463	454	525
464	455	523
465	455	522
466	456	520
467	457	519
468	457	518
469	458	516
470	458	515
471	459	513
472	459	512
473	460	511
474	461	509
475	461	508
476	462	507
477	463	505
478	463	504
479	464	503
480	465	501
481	465	500
